название тура,slug,ссылка max,статус
Стамбул: влюбиться за 5 дней,stambul-5-dnej-s-gidom,https://max.ru/id230814735866_2_bot?startapp=89,
Татарстан на 100 процентов,tatarstan-na-100-procentov,https://max.ru/id230814735866_2_bot?startapp=47,
Термальные источники «Водная Ривьера» и «Питейный дом» в Майкопе,termalnye-istochniki-vodnaya-rivera-pitejnyj-dom,https://max.ru/id230814735866_2_bot?startapp=145,тур в архиве
Термальные источники Адыгеи за 1 день,termy-adygei-1-den,https://max.ru/id230814735866_2_bot?startapp=17,тур в архиве
Тешебские водопады и музей «Хлеба и Вина» в Архипо-Осиповке,teshebskie-vodopady-muzej-hleba-i-vina,https://max.ru/id230814735866_2_bot?startapp=124,
"Три столицы Поволжья: Астрахань, Волгоград, Элиста",tri-stolitsy-povolzhya-astrakhan-volgograd-elista,https://max.ru/id230814735866_2_bot?startapp=184,
"Тур-восторг: Шато-Пино, смотровые, Старый Парк, Геленджик",tur-vostorg-shato-pino-staryj-park-gelendzhik,https://max.ru/id230814735866_2_bot?startapp=153,
Тюльпаны и пионы Крыма,tyulpany-i-piony-kryma,https://max.ru/id230814735866_2_bot?startapp=149,тур в архиве
"Тюльпаны мыса Опук, Кояшское озеро и Керчь",tyulpany-mysa-opuk-koyashskoe-kerch,https://max.ru/id230814735866_2_bot?startapp=129,тур в архиве
Тюльпаны Ростовского заповедника и эко-тропы,tyulpany-rostovskogo-zapovednika-eko-tropy,https://max.ru/id230814735866_2_bot?startapp=130,тур в архиве
"Улетный тур в Адыгею: рафтинг по реке Белой, конные прогулки, воздушные шары",uletnyj-tur-v-adygeyu-rafting-po-reke-beloj-konnye-progulki-vozdushnye-shary,https://max.ru/id230814735866_2_bot?startapp=166,
"Фестиваль тюльпанов в Калмыкии: Страна Бумба, степи и барханы",festival-tyulpanov-kalmykiya-2-dnya,https://max.ru/id230814735866_2_bot?startapp=108,тур в архиве
"Фестиваль тюльпанов в Калмыкии: Элиста, хурулы и степные тюльпаны",festival-tyulpanov-kalmykiya-1-den,https://max.ru/id230814735866_2_bot?startapp=121,тур в архиве
Цветущий Краснодар: парк Галицкого и Японский сад,tsvetushchij-krasnodar-park-galitskogo-yaponskij-sad,https://max.ru/id230814735866_2_bot?startapp=157,
Чарующая Беларусь,charuyushchaya-belarus-5-dnej,https://max.ru/id230814735866_2_bot?startapp=56,
Чегем и Язык тролля с красавицей Верхней Балкарией,chegem-yazyk-trollya-verhnyaya-balkariya-2-dnya,https://max.ru/id230814735866_2_bot?startapp=111,
Чегем: открытие сезона,chegem-otkrytie-sezona,https://max.ru/id230814735866_2_bot?startapp=186,
Чегем: полеты и водопады + замок Шато Эркен,chegem-polety-i-vodopady-zamok-shato-erken,https://max.ru/id230814735866_2_bot?startapp=189,
Чечня и Северная Осетия за 4 дня,chechnya-osetiya-4-dnya,https://max.ru/id230814735866_2_bot?startapp=14,
"Чечня, Ингушетия, Северная Осетия",3-respubliki-kavkaza-severnaya-osetiya-ingushetiya-i-chechnya,https://max.ru/id230814735866_2_bot?startapp=164,
Шато де Талю — Геленджик — Старый Парк,shato-de-talyu-gelendzhik-staryj-park,https://max.ru/id230814735866_2_bot?startapp=87,
Элиста и степи Калмыкии,elista-kalmykiya-1-den,https://max.ru/id230814735866_2_bot?startapp=22,тур в архиве
Эльбрус и Чегемские водопады,elbrus-i-chegem,https://max.ru/id230814735866_2_bot?startapp=9,
"Эстетика и волшебство: Шато-Андре, усадьба Семигорье и Абрау",shato-andre-semigorye-abrau,https://max.ru/id230814735866_2_bot?startapp=150,тур в архиве
"Юго-Восточное побережье Крыма: Судак, Новый Свет и Феодосия",yugo-vostochnoe-poberezhe-kryma-sudak-novyj-svet,https://max.ru/id230814735866_2_bot?startapp=131,
Я шагаю по Москве,moskva-ya-shagayu-6-dnej,https://max.ru/id230814735866_2_bot?startapp=43,
Язык тролля и Красавица Верхняя Балкария,yazyk-trollya-verhnyaya-balkariya-1-den,https://max.ru/id230814735866_2_bot?startapp=141,
